Movie Name,Genre,Ratings,Voting Counts,Duration
Project Hail Mary,"Adventure,Comedy,Sci-Fi",8.2,548402,156
The Odyssey,"Action,Adventure,Fantasy",8.4,497609,172
Spider-Man: Brand New Day,"Action,Adventure,Sci-Fi",8.0,301925,145
Backrooms,"Horror,Sci-Fi,Thriller",6.8,200033,126
Michael,"Biography,Drama,History",7.4,187478,127
Disclosure Day,"Action,Mystery,Sci-Fi",6.4,155563,145
Send Help,"Adventure,Horror,Thriller",6.7,154846,113
The Rip,"Action,Crime,Drama",6.8,146753,113
The Drama,"Comedy,Drama,Romance",7.1,128048,105
28 Years Later: The Bone Temple,"Horror,Sci-Fi,Thriller",7.2,127051,109
Masters of the Universe,"Action,Adventure,Fantasy",6.4,122084,140
War Machine,"Action,Sci-Fi,Thriller",6.3,118802,106
The Devil Wears Prada 2,"Comedy,Drama",6.3,114351,119
The Sheep Detectives,"Comedy,Family,Mystery",7.4,113605,109
Apex,"Action,Thriller",6.1,109698,95
Star Wars: The Mandalorian and Grogu,"Action,Adventure,Family",6.8,109484,132
Punjab '95,"Biography,Crime,Drama",8.8,106624,169
Supergirl,"Action,Adventure,Sci-Fi",5.8,100164,108
Crime 101,"Crime,Drama,Thriller",6.8,96124,140
Wuthering Heights,"Drama,Romance",6.1,92025,136
Peaky Blinders: The Immortal Man,"Crime,Drama,History",6.5,90001,112
Mortal Kombat II,"Action,Adventure,Fantasy",6.3,89719,116
Hoppers,"Adventure,Animation,Comedy",7.2,85540,104
Mercy,"Action,Crime,Drama",6.2,82131,99
Toy Story 5,"Adventure,Animation,Comedy",7.4,81584,102
Ready or Not 2: Here I Come,"Comedy,Horror,Thriller",6.5,74910,108
The Super Mario Galaxy Movie,"Adventure,Animation,Comedy",6.3,74690,98
Dhurandhar: The Revenge,"Action,Crime,Thriller",8.2,72290,235
Lee Cronin's The Mummy,Horror,6.1,72052,134
Melania,Documentary,1.6,69568,104
The Invite,"Comedy,Drama,Romance",7.5,69400,107
Scream 7,"Horror,Mystery,Thriller",5.5,67088,114
Hokum,"Horror,Thriller",6.7,63013,107
The Last House,"Action,Horror,Mystery",5.5,58454,112
Scary Movie,"Comedy,Horror",4.8,56998,95
The Wrecking Crew,"Action,Comedy,Crime",6.4,54764,124
